What in the heck,placeholders,in,this,line,seem,to,get,ignored,as,long,as,they,are,the,first,line,and,no,longer,than,the,list,of,values,that,will,be,added,mustbeequal
Match Number,Team Number,Auto Move,L1 auto,L2 auto,L3 auto,L4 auto,processor auto, net auto,L1 tele,L2 tele,L3 tele,L4 tele,processor tele,net tele,park end,shallow cage end,deep cage end,auto total,tele total,total,coral score,algae score,location score,coral score %,algae score %,location score %,average score at event,natural epa,comments
1,1058,5,8,1,7,2,0,8,3,7,7,3,5,0,0,0,9,131,208,339,154,62,123,45,18,36,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,339.0,best team ever
1,6328,4,7,0,0,8,1,0,1,0,10,4,6,0,0,8,0,95,146,241,139,42,60,58,17,25,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,241.0,pretty good coral
1,6329,7,6,0,0,0,0,0,1,10,5,0,10,5,0,0,3,39,168,207,70,80,57,34,39,28,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,207.0,good auto
1,78,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,21,14,35,0,0,35,0,0,100,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,35.0,trash robot
1,175,6,7,0,0,0,5,0,1,0,4,0,10,1,10,0,0,69,102,171,39,94,38,23,55,22,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,171.0,decent
1,177,3,0,6,2,0,0,0,9,3,10,0,0,0,0,2,0,45,79,124,103,0,21,83,0,17,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,124.0,good defense
2,131,9,3,0,0,0,0,0,12,0,0,0,5,0,2,0,0,36,58,94,33,30,31,35,32,33,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,94.0,consistent human player
2,1058,1,0,6,8,9,0,7,1,6,9,19,8,0,0,0,7,166,283,449,286,76,87,64,17,19,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,449.0,even better team
2,7409,3,0,0,0,0,1,10,1,0,0,0,8,0,0,1,0,55,56,111,2,94,15,2,85,14,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,111.0,note
2,1028,10,2,0,0,0,0,0,5,5,8,0,3,0,8,0,0,36,91,127,63,18,46,50,14,36,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,127.0,
2,1058,4,3,3,9,2,0,4,10,2,2,2,8,0,0,0,6,117,164,281,133,64,84,47,23,30,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,281.0,best team ever
2,6328,9,6,0,0,6,7,0,3,0,6,1,1,0,0,6,0,129,77,206,95,48,63,46,23,31,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,206.0,pretty good coral
3,6329,5,5,0,0,0,0,0,5,2,10,0,8,4,0,0,9,30,228,258,71,64,123,28,25,48,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,258.0,good auto
3,78,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,27,14,41,0,0,41,0,0,100,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,41.0,trash robot
3,175,6,7,0,0,0,2,0,9,0,7,0,10,2,3,0,0,51,120,171,67,80,24,39,47,14,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,171.0,decent
3,177,2,0,3,6,0,0,0,1,5,9,0,0,0,0,4,0,54,77,131,101,0,30,77,0,23,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,131.0,good defense
3,131,7,4,0,0,0,0,0,12,0,0,0,10,0,5,0,0,33,94,127,36,60,31,28,47,24,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,127.0,consistent human player
3,1058,6,0,9,9,4,0,2,6,3,4,19,8,0,0,0,10,144,300,444,250,56,138,56,13,31,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,444.0,even better team
4,7409,6,0,0,0,0,7,7,1,0,0,0,7,0,0,4,0,88,68,156,2,112,42,1,72,27,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,156.0,note
4,1028,5,5,0,0,0,0,0,6,5,2,0,5,0,10,0,0,30,85,115,50,30,35,43,26,30,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,115.0,
4,1058,8,8,3,2,6,0,3,4,7,9,4,1,0,0,0,8,126,187,313,175,18,120,56,6,38,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,313.0,best team ever
4,6328,2,6,0,0,8,8,0,7,0,6,5,7,0,0,5,0,128,135,263,137,90,36,52,34,14,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,263.0,pretty good coral
4,6329,2,5,0,0,0,0,0,10,5,7,0,1,1,0,0,7,21,157,178,78,10,90,44,6,51,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,178.0,good auto
4,78,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,2,26,0,0,26,0,0,100,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,26.0,trash robot
5,175,8,6,0,0,0,8,0,1,0,1,0,1,7,1,0,0,90,42,132,24,82,26,18,62,20,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,132.0,decent
5,177,7,0,10,10,0,0,0,10,8,1,0,0,0,0,1,0,121,54,175,148,0,27,85,0,15,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,175.0,good defense
5,131,7,7,0,0,0,0,0,12,0,0,0,9,0,3,0,0,42,84,126,45,54,27,36,43,21,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,126.0,consistent human player
5,1058,2,0,6,4,2,0,5,7,5,10,19,5,0,0,0,2,88,218,306,226,50,30,74,16,10,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,306.0,even better team
5,7409,1,0,0,0,0,10,4,4,0,0,0,10,0,0,10,0,79,128,207,8,136,63,4,66,30,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,207.0,note
5,1028,2,2,0,0,0,0,0,1,10,6,0,4,0,3,0,0,12,86,98,62,24,12,63,24,12,UNCOMMENT STATBOTICS WHEN IT WORKS AGAIN,98.0,